Company ID;Type;MRR;Date of subscription;Expires on;Payment method;list_date_of_subscription_month
1225;new;1.200;11/30/2016;1/31/2018;yearly;11.2016
383;new;900;2/15/2016;4/14/2017;yearly;02.2016
1905;new;800;11/24/2016;11/30/2017;yearly;11.2016
1337;new;666;8/23/2016;9/14/2017;yearly;08.2016
1801;new;777;11/24/2016;1/8/2018;yearly;11.2016
1373;new;900;9/22/2016;12/31/2017;yearly;09.2016
1221;new;899;7/13/2016;7/31/2017;yearly;07.2016
1039;new;833;11/23/2016;6/30/2017;yearly;11.2016
551;new;829;4/15/2016;1/11/2018;monthly;04.2016
229;new;829;2/9/2016;3/7/2017;monthly;02.2016
423;new;799;4/26/2016;5/14/2017;yearly;04.2016
971;new;746;6/11/2016;9/30/2017;yearly;06.2016
741;new;746;5/20/2016;5/22/2017;yearly;05.2016
402;new;741;10/31/2016;10/31/2017;yearly;10.2016
1471;new;707;10/4/2016;10/14/2017;yearly;10.2016
414;new;699;4/5/2016;5/14/2017;yearly;04.2016
1139;new;679;8/28/2016;8/31/2018;yearly;08.2016
1219;change to monthly;649;1/4/2017;3/4/2017;monthly;01.2017
541;new;637;10/31/2016;11/30/2017;yearly;10.2016
523;upgrade;549;8/10/2016;3/10/2017;monthly;08.2016
1597;new;541;10/21/2016;10/31/2017;yearly;10.2016
1595;new;524;11/29/2016;12/31/2017;yearly;11.2016
428;new;502;3/15/2016;3/14/2017;yearly;03.2016
207;new;499;9/1/2015;3/6/2017;monthly;09.2015
1219;new;497;9/19/2016;3/4/2017;yearly;09.2016
110;new;476;2/1/2015;2/28/2017;monthly;02.2015
1451;new;472;10/23/2016;10/31/2017;yearly;10.2016
999;new;472;9/29/2016;10/14/2017;yearly;09.2016
997;new;449;7/12/2016;7/14/2017;yearly;07.2016
165;new;449;11/11/2015;10/31/2017;yearly;11.2015
887;new;425;9/29/2016;10/31/2017;yearly;09.2016
779;new;416;9/2/2016;11/30/2017;yearly;09.2016
523;new;402;4/26/2016;3/10/2017;monthly;04.2016
1781;new;399;12/5/2016;12/5/2017;yearly;12.2016
